CATEGORY,Name,Latitude,Longitude,Campbell 1291,Poll Tax Pop. 1377,Parliamentary Borough,
,Appleby,,,,,X,Hist Parl.
,Arundel,,,,,X,Hist Parl.
7,Bamburgh,55.607884,-1.713559,,,,
7,Banbury,52.061000,1.336000,2000,,,
7,Bangor,53.216757,-4.143094,,,,
7,Barking,51.535800,0.078500,3300,,,
7,Barnard Castle,54.545284,-1.923741,,,,
6,Barnstaple,51.078203,-4.057038,2100,680,X,
7,Barton upon Humber,53.683300,0.450000,2500,,,
7,Basingstoke,51.266540,-1.092396,,,,
6,Bath,51.375801,-2.359904,,570,X,
7,Beaumaris,54.855187,-1.520978,,,,
7,Bedford,52.135973,-0.466655,2000,34,X,
4,Beverley,53.841963,-0.435093,6500,2663,,
,Bletchingley,,,,,X,Hist Parl.
6,Bodmin,50.468630,-4.715114,,642,X,
4,Boston,52.977102,-0.035531,6200,2871,X,
6,Bridgnorth,52.534455,-2.424549,2400,900,X,
6,Bridgwater,51.127889,-3.003632,2700,888,X,
,Bridport,,,,,X,Hist Parl.
2,Bristol,51.472540,-2.577293,14400,6345,X,
7,Burton-on-Trent,52.814028,-1.637136,,450,,
4,Bury St Edmunds,52.244384,0.716356,5800,2445,,
,Calne,,,,,X,Hist Parl.
4,Cambridge,52.205337,0.121817,6900,1902,X,
4,Canterbury,51.280233,1.078909,8800,2574,X,
6,Cardiff,51.481581,-3.179090,2000,,,
7,Cardigan,52.083703,-4.660864,,,,
6,Carlisle,54.892473,-2.932931,,678,X,
7,Carmarthen,51.857620,-4.312131,,,,
7,Carnarvon,53.139551,-4.273911,,,,
7,Chelmsford,51.726945,0.460065,,240,,
5,Chester,53.193392,-2.893075,3300,,,
7,Chesterfield,53.235048,-1.421629,,,,
,Chippenham,,,,,X,Hist Parl.
6,Chichester,50.837610,-0.774936,2000,869,,
7,Chipping Campden,52.049655,-1.783221,,,,
7,Christchurch,50.735777,-1.778586,,,,
6,Cirencester,51.707734,-1.972456,,,,
7,Clare,52.075389,0.566745,,425,,
4,Colchester,51.895927,0.891874,6200,2955,X,
7,Conway,53.282872,-3.829480,,,,
3,Coventry,52.408016,-1.516321,9500,4817,,
,Cricklade,,,,,X,Hist Parl.
7,Dartford,51.435613,0.185383,,465,,
6,Dartmouth,50.348041,-3.589573,,506,X,
5,Derby,52.922530,-1.474619,2900,1046,X,
,Devizes,,,,,X,Hist Parl.
7,Doncaster,53.522820,-1.128462,2300,,,
7,Dorchester,50.708747,-2.454558,,,X,
6,Dover,51.127876,1.313403,,,X,
,Downton,,,,,X,Hist Parl.
7,Droitwich,52.268866,-2.144595,,,,
6,Dunstable,51.885644,-0.520390,,,,
7,Dunwich,52.278390,1.626149,,,X,
4,Durham,54.775250,-1.584852,2600,2000,,
,East Grinstead,,,,,X,
6,Eccleshall,52.858218,-2.253924,,511,,
5,Ely,52.396357,0.261946,3500,1394,,
5,Exeter,50.718412,-3.533899,3700,1560,,
7,Flint,53.248236,-3.135770,,,,
4,Gloucester,51.864245,-2.238156,7200,2239,X,
,Great Bedwyn,,,,,X,Hist Parl.
,Great Torrington,,,,,X,Hist Parl.
7,Grantham,52.904741,-0.648452,,,,
4,Great Yarmouth,52.602290,1.720049,7000,1941,X,
6,Grimsby,53.562256,-0.084017,2000,703,X,
7,Guildford,51.236220,-0.570409,,,X,
7,Hadleigh,52.044000,0.961000,2400,,,
7,Hartlepool,54.691745,-1.212926,,,,
5,Hastings,50.854259,0.573453,,,X,
,Helston,,,,,X,Hist Parl.
4,Hereford,52.056398,-2.715974,5500,1903,X,
,Horsham,,,,,X,Hist Parl.
7,Huntingdon,52.336400,0.171700,2800,,X,
